Company name,Website,HQ city (BC),Employee range,Ownership/management signal,Open jobs count/hiring signal,CEO or manager name,CEO/manager title,Email address,Telephone number,LinkedIn / Apollo URL,Notes / confidence
Destination Canada,http://www.destinationcanada.com,"Vancouver, British Columbia",140,private,Unknown (no hiring endpoint access),,,,,http://www.linkedin.com/company/destination-canada,BC/size verified; hiring is proxy; people/contact fields limited by API access
Launchpad Technologies Inc.,http://www.golaunchpad.io,"Vancouver, British Columbia",40,,Unknown (no hiring endpoint access),,,,+1 800-326-0188,http://www.linkedin.com/company/golaunchpad,BC/size verified; hiring is proxy; people/contact fields limited by API access
Herschel Supply Company,http://www.herschel.com,"Vancouver, British Columbia",240,family,Unknown (no hiring endpoint access),,,,+1 888-997-5597,http://www.linkedin.com/company/herschelsupply,BC/size verified; hiring is proxy; people/contact fields limited by API access
Unbounce,http://www.unbounce.com,"Vancouver, British Columbia",160,,Unknown (no hiring endpoint access),,,,+1 604-484-1354,http://www.linkedin.com/company/unbounce,BC/size verified; hiring is proxy; people/contact fields limited by API access
Dapper Labs,http://www.dapperlabs.com,"Vancouver, British Columbia",180,owner,Unknown (no hiring endpoint access),,,,+1 888-919-3677,http://www.linkedin.com/company/dapper-labs,BC/size verified; hiring is proxy; people/contact fields limited by API access
SmartSweets,http://www.smartsweets.com,"Vancouver, British Columbia",65,,Unknown (no hiring endpoint access),,,,+1 604-279-0019,http://www.linkedin.com/company/smartsweets,BC/size verified; hiring is proxy; people/contact fields limited by API access
Cymax Group Technologies,http://www.cymaxgroup.com,"Vancouver, British Columbia",230,,Unknown (no hiring endpoint access),,,,+1 866-740-9830,http://www.linkedin.com/company/cymaxgroup,BC/size verified; hiring is proxy; people/contact fields limited by API access
MatchBox Consulting Group,http://www.matchboxhr.com,"Vancouver, British Columbia",34,,Unknown (no hiring endpoint access),,,,+1 604-565-1500,http://www.linkedin.com/company/matchbox-recruitment,BC/size verified; hiring is proxy; people/contact fields limited by API access
CyberClan,http://www.cyberclan.com,"Vancouver, British Columbia",76,,Unknown (no hiring endpoint access),,,,+1 855-685-5785,http://www.linkedin.com/company/cyberclantm,BC/size verified; hiring is proxy; people/contact fields limited by API access
Taylor Ryan Executive Search Partners,http://www.taylorryan.com,"Vancouver, British Columbia",28,private,Unknown (no hiring endpoint access),,,,+1 778-775-1047,http://www.linkedin.com/company/taylor-ryan-executive-search-partners,BC/size verified; hiring is proxy; people/contact fields limited by API access
PILOT CAREER CENTER -- the source for PILOT CAREERS,http://www.pilotcareercenter.com,"Vancouver, British Columbia",33,private,Unknown (no hiring endpoint access),,,,,http://www.linkedin.com/company/pilot-career-center,BC/size verified; hiring is proxy; people/contact fields limited by API access
