Company name,Website,HQ city (BC),Employee range,Ownership/management signal,Open jobs count/hiring signal,CEO or manager name,CEO/manager title,Email address,Telephone number,LinkedIn / Apollo URL,Notes / confidence,Careers URL,Resolved Careers URL,Open Roles Count,Jobs JSON
Destination Canada,http://www.destinationcanada.com,"Vancouver, British Columbia",140,private,Unknown (no hiring endpoint access),,,,,http://www.linkedin.com/company/destination-canada,BC/size verified; hiring is proxy; people/contact fields limited by API access,http://www.destinationcanada.com/careers,https://www.destinationcanada.com/en-ca/careers,0,[]
Launchpad Technologies Inc.,http://www.golaunchpad.io,"Vancouver, British Columbia",40,,Unknown (no hiring endpoint access),,,,+1 800-326-0188,http://www.linkedin.com/company/golaunchpad,BC/size verified; hiring is proxy; people/contact fields limited by API access,http://www.golaunchpad.io/careers,https://www.golaunchpad.io/company/careers,4,"[{""jobID"":""4661301006"",""jobName"":""Data Architect"",""department"":"""",""location"":""Latam"",""employmentType"":"""",""postedAt"":""2026-03-09T13:02:58-04:00"",""applyUrl"":""https://job-boards.greenhouse.io/launchpadtechnologiesinc/jobs/4661301006""},{""jobID"":""4009302006"",""jobName"":""Looking for other roles? Join our Talent Community!"",""department"":"""",""location"":""Latam"",""employmentType"":"""",""postedAt"":""2026-02-06T11:31:27-05:00"",""applyUrl"":""https://job-boards.greenhouse.io/launchpadtechnologiesinc/jobs/4009302006""},{""jobID"":""4624168006"",""jobName"":""Salesforce Technical Lead "",""department"":"""",""location"":""Latam"",""employmentType"":"""",""postedAt"":""2026-02-06T11:31:27-05:00"",""applyUrl"":""https://job-boards.greenhouse.io/launchpadtechnologiesinc/jobs/4624168006""},{""jobID"":""4647962006"",""jobName"":""ServiceNow Tester"",""department"":"""",""location"":""Latam"",""employmentType"":"""",""postedAt"":""2026-03-09T13:48:40-04:00"",""applyUrl"":""https://job-boards.greenhouse.io/launchpadtechnologiesinc/jobs/4647962006""}]"
Herschel Supply Company,http://www.herschel.com,"Vancouver, British Columbia",240,family,Unknown (no hiring endpoint access),,,,+1 888-997-5597,http://www.linkedin.com/company/herschelsupply,BC/size verified; hiring is proxy; people/contact fields limited by API access,https://herschel.com/careers,https://herschel.com/careers,5,"[{""jobID"":""4661000006"",""jobName"":""SALES OPERATIONS SPECIALIST"",""department"":""Logistics, Distribution & Sales Ops"",""location"":""Vancouver"",""employmentType"":"""",""postedAt"":""2026-03-10T12:58:24-04:00"",""applyUrl"":""https://herschel.com/careers?gh_jid=4661000006""},{""jobID"":""4649330006"",""jobName"":""ASSISTANT STORE MANAGER"",""department"":""Retail"",""location"":""Richmond"",""employmentType"":"""",""postedAt"":""2026-03-06T20:14:10-05:00"",""applyUrl"":""https://herschel.com/careers?gh_jid=4649330006""},{""jobID"":""4658352006"",""jobName"":""SALES ASSOCIATE (PART-TIME)"",""department"":""Retail"",""location"":""Burnaby"",""employmentType"":""Part-Time"",""postedAt"":""2026-03-06T20:14:10-05:00"",""applyUrl"":""https://herschel.com/careers?gh_jid=4658352006""},{""jobID"":""4661956006"",""jobName"":""SALES ASSOCIATE (PART-TIME)"",""department"":""Retail"",""location"":""Robson Street, Vancouver"",""employmentType"":""Part-Time"",""postedAt"":""2026-03-10T16:54:24-04:00"",""applyUrl"":""https://herschel.com/careers?gh_jid=4661956006""},{""jobID"":""4657174006"",""jobName"":""SALES ASSOCIATE (SEASONAL)"",""department"":""Retail"",""location"":""Gastown, Vancouver"",""employmentType"":""Seasonal"",""postedAt"":""2026-03-06T20:14:10-05:00"",""applyUrl"":""https://herschel.com/careers?gh_jid=4657174006""}]"
Unbounce,http://www.unbounce.com,"Vancouver, British Columbia",160,,Unknown (no hiring endpoint access),,,,+1 604-484-1354,http://www.linkedin.com/company/unbounce,BC/size verified; hiring is proxy; people/contact fields limited by API access | manual QA: non-role links removed | follow-link enrichment applied | manual QA cleanup for noisy career links,http://www.unbounce.com/careers,https://unbounce.com/careers/,0,[]
Dapper Labs,http://www.dapperlabs.com,"Vancouver, British Columbia",180,owner,Unknown (no hiring endpoint access),,,,+1 888-919-3677,http://www.linkedin.com/company/dapper-labs,BC/size verified; hiring is proxy; people/contact fields limited by API access,https://www.dapperlabs.com/careers,https://www.dapperlabs.com/careers,1,"[{""jobID"":""9835"",""jobName"":""Design Engineer"",""department"":""Engineering (R&D)"",""location"":""United States; Vancouver, British Columbia, Canada"",""employmentType"":""Full Time"",""postedAt"":"""",""applyUrl"":""https://careers.kula.ai/dapperlabs/9835/?jobs=true""}]"
SmartSweets,http://www.smartsweets.com,"Vancouver, British Columbia",65,,Unknown (no hiring endpoint access),,,,+1 604-279-0019,http://www.linkedin.com/company/smartsweets,BC/size verified; hiring is proxy; people/contact fields limited by API access,,,,[]
Cymax Group Technologies,http://www.cymaxgroup.com,"Vancouver, British Columbia",230,,Unknown (no hiring endpoint access),,,,+1 866-740-9830,http://www.linkedin.com/company/cymaxgroup,BC/size verified; hiring is proxy; people/contact fields limited by API access,https://www.cymaxgroup.com/careers,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?ccId=19000101_000001&cid=33a9306c-011d-4f55-84d4-d407c2ff126d&lang=en_CA,8,"[{""jobID"":""Business Development Manager (eCommerce)"",""jobName"":""Business Development Manager (eCommerce)"",""department"":"""",""location"":""Hybrid, Vancouver, BC, CA"",""employmentType"":""Full Time"",""postedAt"":""Today"",""applyUrl"":""https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?ccId=19000101_000001&cid=33a9306c-011d-4f55-84d4-d407c2ff126d&lang=en_CA""},{""jobID"":""Account Manager (eCommerce)"",""jobName"":""Account Manager (eCommerce)"",""department"":"""",""location"":""Hybrid, Vancouver, BC, CA"",""employmentType"":""Full Time"",""postedAt"":""Today"",""applyUrl"":""https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?ccId=19000101_000001&cid=33a9306c-011d-4f55-84d4-d407c2ff126d&lang=en_CA""},{""jobID"":""Director, Partnerships & B2B (eCommerce)"",""jobName"":""Director, Partnerships & B2B (eCommerce)"",""department"":"""",""location"":""Hybrid, Vancouver, BC, CA"",""employmentType"":""Full Time"",""postedAt"":""12 days ago"",""applyUrl"":""https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?ccId=19000101_000001&cid=33a9306c-011d-4f55-84d4-d407c2ff126d&lang=en_CA""},{""jobID"":""Senior eCommerce Marketing Analyst"",""jobName"":""Senior eCommerce Marketing Analyst"",""department"":"""",""location"":""Vancouver, BC, CA"",""employmentType"":""Full Time"",""postedAt"":""12 days ago"",""applyUrl"":""https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?ccId=19000101_000001&cid=33a9306c-011d-4f55-84d4-d407c2ff126d&lang=en_CA""},{""jobID"":""Senior Product Manager, AI (eCommerce)"",""jobName"":""Senior Product Manager, AI (eCommerce)"",""department"":"""",""location"":""Hybrid, Vancouver, BC, CA"",""employmentType"":""Full Time"",""postedAt"":""12 days ago"",""applyUrl"":""https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?ccId=19000101_000001&cid=33a9306c-011d-4f55-84d4-d407c2ff126d&lang=en_CA""},{""jobID"":""Director, eCommerce Operations"",""jobName"":""Director, eCommerce Operations"",""department"":"""",""location"":""Hybrid, Vancouver, BC, CA"",""employmentType"":""Full Time"",""postedAt"":""14 days ago"",""applyUrl"":""https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?ccId=19000101_000001&cid=33a9306c-011d-4f55-84d4-d407c2ff126d&lang=en_CA""},{""jobID"":""Director, Analytics & Insights - Freight Club"",""jobName"":""Director, Analytics & Insights - Freight Club"",""department"":"""",""location"":""Hybrid, Vancouver, BC, CA"",""employmentType"":""Full Time"",""postedAt"":""15 days ago"",""applyUrl"":""https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?ccId=19000101_000001&cid=33a9306c-011d-4f55-84d4-d407c2ff126d&lang=en_CA""},{""jobID"":""Business Development Manager (Freight Club)"",""jobName"":""Business Development Manager (Freight Club)"",""department"":"""",""location"":""Hybrid, Vancouver, BC, CA"",""employmentType"":""Full Time"",""postedAt"":""27 days ago"",""applyUrl"":""https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?ccId=19000101_000001&cid=33a9306c-011d-4f55-84d4-d407c2ff126d&lang=en_CA""}]"
MatchBox Consulting Group,http://www.matchboxhr.com,"Vancouver, British Columbia",34,,Unknown (no hiring endpoint access),,,,+1 604-565-1500,http://www.linkedin.com/company/matchbox-recruitment,BC/size verified; hiring is proxy; people/contact fields limited by API access | follow-link enrichment applied,http://www.matchboxhr.com/jobs,https://matchboxhr.com/job-seekers/,2,"[{""jobID"":""https://matchboxhr.com/jobs/category/engineering-technical"",""jobName"":""Engineering &amp; Technical"",""department"":"""",""location"":"""",""employmentType"":"""",""postedAt"":"""",""applyUrl"":""https://matchboxhr.com/jobs/category/engineering-technical""},{""jobID"":""https://matchboxhr.com/jobs/travelling-construction-project-manager-fifo-retail-builds-canada-13227/"",""jobName"":""Travelling Construction Project Manager (FIFO / Retail Builds – Canada)"",""department"":"""",""location"":"""",""employmentType"":"""",""postedAt"":"""",""applyUrl"":""https://matchboxhr.com/jobs/travelling-construction-project-manager-fifo-retail-builds-canada-13227/""}]"
CyberClan,http://www.cyberclan.com,"Vancouver, British Columbia",76,,Unknown (no hiring endpoint access),,,,+1 855-685-5785,http://www.linkedin.com/company/cyberclantm,BC/size verified; hiring is proxy; people/contact fields limited by API access,http://www.cyberclan.com/careers,https://cyberclan.com/careers/,0,[]
Taylor Ryan Executive Search Partners,http://www.taylorryan.com,"Vancouver, British Columbia",28,private,Unknown (no hiring endpoint access),,,,+1 778-775-1047,http://www.linkedin.com/company/taylor-ryan-executive-search-partners,BC/size verified; hiring is proxy; people/contact fields limited by API access,http://www.taylorryan.com/jobs,https://taylorryan.com/job-seekers/,0,[]
