Company name,Website,HQ city (BC),Employee range,Ownership/management signal,Open jobs count/hiring signal,CEO or manager name,CEO/manager title,Email address,Telephone number,LinkedIn / Apollo URL,Notes / confidence
adMare BioInnovations,http://www.admarebio.com,"Vancouver, British Columbia",51,private,Unknown (no hiring endpoint access),,,,+1 514-375-3334,http://www.linkedin.com/company/admare-bioinnovations,BC/size verified; hiring is proxy; people/contact fields limited by API access
Dapper Labs,http://www.dapperlabs.com,"Vancouver, British Columbia",180,owner,Unknown (no hiring endpoint access),,,,+1 888-919-3677,http://www.linkedin.com/company/dapper-labs,BC/size verified; hiring is proxy; people/contact fields limited by API access
Destination Vancouver,http://www.destinationvancouver.com,"Vancouver, British Columbia",93,family,Unknown (no hiring endpoint access),,,,+1 604-682-2222,http://www.linkedin.com/company/destination-vancouver,BC/size verified; hiring is proxy; people/contact fields limited by API access
Foresight Canada,http://www.foresightcac.com,"Vancouver, British Columbia",180,private,Unknown (no hiring endpoint access),,,,+1 604-245-0042,http://www.linkedin.com/company/foresightcac,BC/size verified; hiring is proxy; people/contact fields limited by API access
Innovate BC,http://www.innovatebc.ca,"Vancouver, British Columbia",55,private,Unknown (no hiring endpoint access),,,,+1 604-335-2495,http://www.linkedin.com/company/innovatebc,BC/size verified; hiring is proxy; people/contact fields limited by API access
Newcore Gold,http://www.newcoregold.com,"Vancouver, British Columbia",41,private,Unknown (no hiring endpoint access),,,,+1 604-484-4399,http://www.linkedin.com/company/newcore-gold,BC/size verified; hiring is proxy; people/contact fields limited by API access
Student Biotechnology Network,http://www.thesbn.ca,"Vancouver, British Columbia",81,family,Unknown (no hiring endpoint access),,,,+1 604-767-4712,http://www.linkedin.com/company/thesbn,BC/size verified; hiring is proxy; people/contact fields limited by API access
The Fraser Institute,http://www.fraserinstitute.org,"Vancouver, British Columbia",110,private,Unknown (no hiring endpoint access),,,,+1 604-688-0221,http://www.linkedin.com/company/the-fraser-institute,BC/size verified; hiring is proxy; people/contact fields limited by API access
Treewalk,http://www.treewalk.com,"Vancouver, British Columbia",67,private,Unknown (no hiring endpoint access),,,,+1 604-365-0425,http://www.linkedin.com/company/treewalk,BC/size verified; hiring is proxy; people/contact fields limited by API access
Destination Canada,http://www.destinationcanada.com,"Vancouver, British Columbia",140,private,Unknown (no hiring endpoint access),,,,,http://www.linkedin.com/company/destination-canada,BC/size verified; hiring is proxy; people/contact fields limited by API access
