Company name,Website,HQ city (BC),Employee range,Ownership/management signal,Open jobs count/hiring signal,CEO or manager name,CEO/manager title,Email address,Telephone number,LinkedIn / Apollo URL,Notes / confidence,Careers URL,Resolved Careers URL,Open Roles Count,Jobs JSON
adMare BioInnovations,http://www.admarebio.com,"Vancouver, British Columbia",51,private,Unknown (no hiring endpoint access),,,,+1 514-375-3334,http://www.linkedin.com/company/admare-bioinnovations,BC/size verified; hiring is proxy; people/contact fields limited by API access,,,,[]
Dapper Labs,http://www.dapperlabs.com,"Vancouver, British Columbia",180,owner,Unknown (no hiring endpoint access),,,,+1 888-919-3677,http://www.linkedin.com/company/dapper-labs,BC/size verified; hiring is proxy; people/contact fields limited by API access,https://www.dapperlabs.com/careers,https://www.dapperlabs.com/careers,1,"[{""jobID"":""9835"",""jobName"":""Design Engineer"",""department"":""Engineering (R&D)"",""location"":""United States; Vancouver, British Columbia, Canada"",""employmentType"":""Full Time"",""postedAt"":"""",""applyUrl"":""https://careers.kula.ai/dapperlabs/9835/?jobs=true""}]"
Destination Vancouver,http://www.destinationvancouver.com,"Vancouver, British Columbia",93,family,Unknown (no hiring endpoint access),,,,+1 604-682-2222,http://www.linkedin.com/company/destination-vancouver,BC/size verified; hiring is proxy; people/contact fields limited by API access,,,,[]
Foresight Canada,http://www.foresightcac.com,"Vancouver, British Columbia",180,private,Unknown (no hiring endpoint access),,,,+1 604-245-0042,http://www.linkedin.com/company/foresightcac,BC/size verified; hiring is proxy; people/contact fields limited by API access | follow-link enrichment applied,http://www.foresightcac.com/careers,https://foresightcac.com/careers,2,"[{""jobID"":""https://foresightcac.com/international-ecosystems"",""jobName"":""International Ecosystem"",""department"":"""",""location"":"""",""employmentType"":"""",""postedAt"":"""",""applyUrl"":""https://foresightcac.com/international-ecosystems""},{""jobID"":""https://foresightcac.com/international-ecosystems"",""jobName"":""International"",""department"":"""",""location"":"""",""employmentType"":"""",""postedAt"":"""",""applyUrl"":""https://foresightcac.com/international-ecosystems""}]"
Innovate BC,http://www.innovatebc.ca,"Vancouver, British Columbia",55,private,Unknown (no hiring endpoint access),,,,+1 604-335-2495,http://www.linkedin.com/company/innovatebc,BC/size verified; hiring is proxy; people/contact fields limited by API access,http://www.innovatebc.ca/careers,https://www.innovatebc.ca/careers/,0,[]
Newcore Gold,http://www.newcoregold.com,"Vancouver, British Columbia",41,private,Unknown (no hiring endpoint access),,,,+1 604-484-4399,http://www.linkedin.com/company/newcore-gold,BC/size verified; hiring is proxy; people/contact fields limited by API access,,,,[]
Student Biotechnology Network,http://www.thesbn.ca,"Vancouver, British Columbia",81,family,Unknown (no hiring endpoint access),,,,+1 604-767-4712,http://www.linkedin.com/company/thesbn,BC/size verified; hiring is proxy; people/contact fields limited by API access,,,,[]
The Fraser Institute,http://www.fraserinstitute.org,"Vancouver, British Columbia",110,private,Unknown (no hiring endpoint access),,,,+1 604-688-0221,http://www.linkedin.com/company/the-fraser-institute,BC/size verified; hiring is proxy; people/contact fields limited by API access,,,,[]
Treewalk,http://www.treewalk.com,"Vancouver, British Columbia",67,private,Unknown (no hiring endpoint access),,,,+1 604-365-0425,http://www.linkedin.com/company/treewalk,BC/size verified; hiring is proxy; people/contact fields limited by API access,http://www.treewalk.com/careers,https://treewalk.com/careers/,0,[]
Destination Canada,http://www.destinationcanada.com,"Vancouver, British Columbia",140,private,Unknown (no hiring endpoint access),,,,,http://www.linkedin.com/company/destination-canada,BC/size verified; hiring is proxy; people/contact fields limited by API access,http://www.destinationcanada.com/careers,https://www.destinationcanada.com/en-ca/careers,0,[]
e-Visa Immigration Services,http://www.evisaimmigration.com,"Vancouver, British Columbia",38,family,Unknown (no hiring endpoint access),,,,+1 604-979-0909,http://www.linkedin.com/company/e-visaimmigration,BC/size verified; hiring is proxy; people/contact fields limited by API access,http://www.evisaimmigration.com/careers,https://www.evisaimmigration.com/en,0,[]
Empowered Startups,http://www.empoweredstartups.com,"Vancouver, British Columbia",27,founder,Unknown (no hiring endpoint access),,,,+1 604-229-1052,http://www.linkedin.com/company/empoweredstartups,BC/size verified; hiring is proxy; people/contact fields limited by API access | follow-link enrichment applied,http://www.empoweredstartups.com/careers,https://empoweredstartups.com/careers/,1,"[{""jobID"":""https://empoweredstartups.com/internal-innovations/"",""jobName"":""Internal R&amp;D Innovations"",""department"":"""",""location"":"""",""employmentType"":"""",""postedAt"":"""",""applyUrl"":""https://empoweredstartups.com/internal-innovations/""}]"
Herschel Supply Company,http://www.herschel.com,"Vancouver, British Columbia",240,family,Unknown (no hiring endpoint access),,,,+1 888-997-5597,http://www.linkedin.com/company/herschelsupply,BC/size verified; hiring is proxy; people/contact fields limited by API access,https://herschel.com/careers,https://herschel.com/careers,5,"[{""jobID"":""4661000006"",""jobName"":""SALES OPERATIONS SPECIALIST"",""department"":""Logistics, Distribution & Sales Ops"",""location"":""Vancouver"",""employmentType"":"""",""postedAt"":""2026-03-10T12:58:24-04:00"",""applyUrl"":""https://herschel.com/careers?gh_jid=4661000006""},{""jobID"":""4649330006"",""jobName"":""ASSISTANT STORE MANAGER"",""department"":""Retail"",""location"":""Richmond"",""employmentType"":"""",""postedAt"":""2026-03-06T20:14:10-05:00"",""applyUrl"":""https://herschel.com/careers?gh_jid=4649330006""},{""jobID"":""4658352006"",""jobName"":""SALES ASSOCIATE (PART-TIME)"",""department"":""Retail"",""location"":""Burnaby"",""employmentType"":""Part-Time"",""postedAt"":""2026-03-06T20:14:10-05:00"",""applyUrl"":""https://herschel.com/careers?gh_jid=4658352006""},{""jobID"":""4661956006"",""jobName"":""SALES ASSOCIATE (PART-TIME)"",""department"":""Retail"",""location"":""Robson Street, Vancouver"",""employmentType"":""Part-Time"",""postedAt"":""2026-03-10T16:54:24-04:00"",""applyUrl"":""https://herschel.com/careers?gh_jid=4661956006""},{""jobID"":""4657174006"",""jobName"":""SALES ASSOCIATE (SEASONAL)"",""department"":""Retail"",""location"":""Gastown, Vancouver"",""employmentType"":""Seasonal"",""postedAt"":""2026-03-06T20:14:10-05:00"",""applyUrl"":""https://herschel.com/careers?gh_jid=4657174006""}]"
Life Sciences BC,http://www.lifesciencesbc.ca,"Vancouver, British Columbia",28,private,Unknown (no hiring endpoint access),,,,+1 604-669-9909,http://www.linkedin.com/company/lifesciences-bc,BC/size verified; hiring is proxy; people/contact fields limited by API access | manual QA: non-role links removed,http://www.lifesciencesbc.ca/careers,http://www.lifesciencesbc.ca/careers,0,[]
Modalis Infrastructure Partners Inc.,http://www.modalis.ca,"Vancouver, British Columbia",36,private,Unknown (no hiring endpoint access),,,,+1 778-939-8891,http://www.linkedin.com/company/modalis-infrastructure-partners-inc-,BC/size verified; hiring is proxy; people/contact fields limited by API access,,,,[]
Set 2 Close | B Corp™,http://www.set2close.io,"Vancouver, British Columbia",40,private,Unknown (no hiring endpoint access),,,,,http://www.linkedin.com/company/set-2-close,BC/size verified; hiring is proxy; people/contact fields limited by API access,,,,[]
Taylor Ryan Executive Search Partners,http://www.taylorryan.com,"Vancouver, British Columbia",28,private,Unknown (no hiring endpoint access),,,,+1 778-775-1047,http://www.linkedin.com/company/taylor-ryan-executive-search-partners,BC/size verified; hiring is proxy; people/contact fields limited by API access,http://www.taylorryan.com/jobs,https://taylorryan.com/job-seekers/,0,[]
Trace Labs,http://www.tracelabs.org,"Vancouver, British Columbia",48,family,Unknown (no hiring endpoint access),,,,,http://www.linkedin.com/company/tracelabs,BC/size verified; hiring is proxy; people/contact fields limited by API access,,,,[]
WildBrain Studios,,"Vancouver, British Columbia",91,family,Unknown (no hiring endpoint access),,,,,http://www.linkedin.com/company/wildbrainstudios,BC/size verified; hiring is proxy; people/contact fields limited by API access,,,,[]
Affinity,http://www.affinity-group.ca,"Vancouver, British Columbia",110,,Unknown (no hiring endpoint access),,,,+1 800-665-6693,http://www.linkedin.com/company/affinity-staffing,BC/size verified; hiring is proxy; people/contact fields limited by API access,http://www.affinity-group.ca/jobs,https://www.affinity-group.ca/jobs,7,"[{""jobID"":""/jobs/13201"",""jobName"":""Change and Communication Management Specialist"",""department"":"""",""location"":"""",""employmentType"":"""",""postedAt"":"""",""applyUrl"":""https://www.affinity-group.ca/jobs/13201""},{""jobID"":""/jobs/13202"",""jobName"":""Programmer Analyst"",""department"":"""",""location"":"""",""employmentType"":"""",""postedAt"":"""",""applyUrl"":""https://www.affinity-group.ca/jobs/13202""},{""jobID"":""/jobs/13204"",""jobName"":""Business System Analyst"",""department"":"""",""location"":"""",""employmentType"":"""",""postedAt"":"""",""applyUrl"":""https://www.affinity-group.ca/jobs/13204""},{""jobID"":""/jobs/13196"",""jobName"":""Project Manager - Salesforce"",""department"":"""",""location"":"""",""employmentType"":"""",""postedAt"":"""",""applyUrl"":""https://www.affinity-group.ca/jobs/13196""},{""jobID"":""/jobs/13199"",""jobName"":""Senior Business Analyst"",""department"":"""",""location"":"""",""employmentType"":"""",""postedAt"":"""",""applyUrl"":""https://www.affinity-group.ca/jobs/13199""},{""jobID"":""/jobs/13191"",""jobName"":""Senior Data Engineer - Azure"",""department"":"""",""location"":"""",""employmentType"":"""",""postedAt"":"""",""applyUrl"":""https://www.affinity-group.ca/jobs/13191""},{""jobID"":""/jobs/13195"",""jobName"":""QA Automation Developer"",""department"":"""",""location"":"""",""employmentType"":"""",""postedAt"":"""",""applyUrl"":""https://www.affinity-group.ca/jobs/13195""}]"
AlgaeCal Inc.,http://www.algaecal.com,"Vancouver, British Columbia",120,,Unknown (no hiring endpoint access),,,,+1 800-820-0184,http://www.linkedin.com/company/algaecal,BC/size verified; hiring is proxy; people/contact fields limited by API access,http://www.algaecal.com/careers,https://www.algaecal.com/en-ca/careers,0,[]
Asia Pacific Foundation of Canada,http://www.asiapacific.ca,"Vancouver, British Columbia",120,,Unknown (no hiring endpoint access),,,,+1 604-684-5986,http://www.linkedin.com/company/apfcanada,BC/size verified; hiring is proxy; people/contact fields limited by API access,,,,[]
